Variable	Variable Description	kc	cjp	jc	ebd	echow	category
hv112_01	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_02	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_03	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_04	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_05	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_06	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_07	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_08	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_09	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_10	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_11	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_12	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_13	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_14	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_15	mother's line number	id	id	id	sampleCharacteristics	id	id
hv112_16	mother's line number	id	id	id	sampleCharacteristics	id	id
hv113_01	father alive	other	biological	other	social	social	other
hv113_02	father alive	other	biological	other	social	social	other
hv113_03	father alive	other	biological	other	social	social	other
hv113_04	father alive	other	biological	other	social	social	other
hv113_05	father alive	other	biological	other	social	social	other
hv113_06	father alive	other	biological	other	social	social	other
hv113_07	father alive	other	biological	other	social	social	other
hv113_08	father alive	other	biological	other	social	social	other
hv113_09	father alive	other	biological	other	social	social	other
hv113_10	father alive	other	biological	other	social	social	other
hv113_11	father alive	other	biological	other	social	social	other
hv113_12	father alive	other	biological	other	social	social	other
hv113_13	father alive	other	biological	other	social	social	other
hv113_14	father alive	other	biological	other	social	social	other
hv113_15	father alive	other	biological	other	social	social	other
hv113_16	father alive	other	biological	other	social	social	other
hv114_01	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_02	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_03	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_04	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_05	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_06	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_07	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_08	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_09	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_10	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_11	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_12	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_13	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_14	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_15	father's line number	id	id	id	sampleCharacteristics	id	id
hv114_16	father's line number	id	id	id	sampleCharacteristics	id	id
hv117_01	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_02	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_03	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_04	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_05	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_06	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_07	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_08	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_09	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_10	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_11	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_12	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_13	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_14	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_15	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv117_16	eligibility for female interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_01	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_02	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_03	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_04	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_05	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_06	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_07	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_08	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_09	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_10	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_11	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_12	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_13	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_14	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_15	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv118_16	eligibility for male interview	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_01	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_02	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_03	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_04	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_05	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_06	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_07	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_08	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_09	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_10	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_11	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_12	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_13	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_14	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_15	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hv120_16	children eligibility for height/weight and hemoglobin	other	sampleCollection	social	sampleCollection	sampleCollection	sampleCollection
hivclust	cluster	sampleCollection	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics
hivnumb	household	sampleCollection	id	id	sampleCharacteristics	id	id
hivline	line	id	id	id	sampleCharacteristics	id	id
hiv01	NA	id	other	other	sampleCharacteristics	other	other
hiv02	lab number	id	id	id	sampleCharacteristics	other	id
hiv03	blood test result	biological	biological	biological	biological	NA	biological
hiv05	sample weight	sampleCharacteristics	sampleCharacteristics	sampleCharacteristics	sampleCollection	sampleCharacteristics	sampleCharacteristics
